phrase,appear times
a contrario,373
ignis fatuus,373
ante meridiem,371
terra nova,370
in capite,367
audi alteram partem,363
homo faber,362
post bellum,360
pars pro toto,350
ora pro nobis,349
homo ludens,348
in propria persona,348
ex novo,347
ratione personae,341
in esse,339
causa sui,338
apparatus criticus,336
aqua fortis,336
factum est,334
ad eundem,329
mortis causa,328
quod est,328
malum in se,327
post meridiem,327
ex aequo et bono,325
extra ecclesiam nulla salus,325
in dubio,324
ut supra,321
culpa in contrahendo,320
per accidens,317
sub specie aeternitatis,315
intra vires,313
ex utero,309
status quo ante bellum,306
in perpetuum,303
hortus conclusus,300
ad usum,299
tertium quid,298
vena amoris,295
homo habilis,294
panem et circenses,290
malum prohibitum,289
via dolorosa,288
de futuro,288
ad vitam,287
eo ipso,285
locus in quo,281
in octavo,281
senatus consultum,280
inter alios,279
una voce,278
nisi prius,276
in abstracto,276
in concreto,274
suo jure,268
vis major,267
mens sana in corpore sano,266
coitus interruptus,265
hic et nunc,264
vita brevis,263
pro parte,263
fons et origo,261
ad fontes,257
in aeternum,254
ad referendum,254
eo nomine,254
ad honorem,250
quasi in rem,248
post scriptum,248
mea maxima culpa,247
illo tempore,245
ad damnum,245
ab ovo,240
fac simile,239
in rebus,239
onus probandi,238
in pectore,238
in vino veritas,236
divide et impera,236
ius gentium,235
intra muros,235
omnium gatherum,234
in posse,234
ad rem,232
ars nova,228
restitutio in integrum,228
ipsissima verba,228
in spe,226
per mensem,225
jure uxoris,224
schola cantorum,223
in parvo,221
in principio,220
arcus senilis,219
et sequens,219
in praesenti,218
felix culpa,218
contra mundum,212
in foro,212
noli me tangere,211
urbi et orbi,208
primum mobile,203
in partibus,202
ex delicto,202
in solidum,200
sensus plenior,199
ars moriendi,198
non est factum,198
papaver somniferum,197
mare nostrum,195
ubi supra,195
causa mortis,193
persona grata,190
lex non scripta,190
nomen est omen,188
expressio unius est exclusio alterius,188
musica sacra,187
rebus sic stantibus,183
quod erat demonstrandum,182
aqua marina,180
in actu,179
dies irae,178
ex lege,177
in salvo,176
porta romana,175
lex loci delicti,169
in dubio pro reo,167
in fieri,167
in infinitum,166
nulla poena sine lege,166
per impossibile,166
res nullius,165
vox humana,164
de bene esse,163
de lege ferenda,163
ex nihilo nihil fit,161
post coitum,160
ante litteram,160
ex contractu,160
in saecula saeculorum,159
in nuce,156
de profundis,156
ius cogens,154
festina lente,154
jus naturale,153
crus cerebri,153
multum in parvo,153
status quaestionis,152
ignoratio elenchi,152
philosophiae doctor,152
contra legem,152
extra muros,150
caput mortuum,149
volenti non fit injuria,148
pater patriae,148
ab urbe condita,147
fiat lux,145
esse est percipi,145
fides quaerens intellectum,142
non bis in idem,142
mos maiorum,140
a latere,139
pro et contra,138
opus dei,138
do ut des,137
jus civile,137
argumentum ad ignorantiam,137
spiritus rector,135
felo de se,134
caveat venditor,134
stella maris,133
semper fidelis,132
requiescat in pace,132
liberum arbitrium,127
non obstante veredicto,126
bellum omnium contra omnes,126
translatio imperii,125
pax romana,123
aqua pura,123
in statu nascendi,122
conditio humana,122
advocatus diaboli,121
ars longa,121
contra bonos mores,121
disjecta membra,120
in transitu,120
circus maximus,120
ad finem,120
ratio legis,119
et vir,119
ab extra,118
agnus dei,118
jus divinum,118
in statu quo,118
a mensa et thoro,117
animal rationale,117
ultima thule,117
ex tunc,116
rus in urbe,115
ex mero motu,115
terra australis,115
de plano,114
tertium non datur,114
novus ordo seclorum,112
communis opinio,111
ecce homo,110
ad mortem,110
de minimis non curat lex,108
oculus sinister,108
non licet,108
de gustibus non est disputandum,107
novum testamentum,107
doli incapax,106
ab origine,106
suum cuique,105
nemine contradicente,104
opus anglicanum,104
in articulo mortis,103
sine nomine,103
cursus publicus,103
imperium in imperio,103
a tergo,102
oculus dexter,102
homo floresiensis,101
lapsus linguae,101
ab intra,101
mater dolorosa,101
risus sardonicus,101
jure divino,100
in illo tempore,99
proxima centauri,99
damnum absque injuria,97
in haec verba,97
pater noster,96
de lege lata,95
lusus naturae,95
nullum crimen sine lege,94
sapere aude,94
citius altius fortius,92
alis grave nil,92
miserere nobis,92
locus delicti,92
ex nunc,92
via lactea,91
vera causa,91
jus canonicum,90
per definitionem,90
nunc dimittis,90
hostis humani generis,90
sursum corda,90
verbatim et literatim,89
dona nobis pacem,88
nil desperandum,88
anno mundi,87
e silentio,86
opus quadratum,85
experimentum crucis,85
spiritus mundi,85
ex silentio,84
homo homini lupus,84
in facie,84
homo neanderthalensis,83
novus homo,83
et alibi,83
proxime accessit,83
non liquet,81
dies non,81
deus vult,81
pons asinorum,80
lapsus calami,80
ad locum,80
donatio mortis causa,79
ubi sunt,79
post festum,79
solvitur ambulando,79
contradictio in terminis,79
ad acta,78
non serviam,78
primum movens,78
ars gratia artis,77
sol invictus,77
in globo,77
ut pictura poesis,76
crimen falsi,76
carpe noctem,76
in hoc signo vinces,76
sic transit gloria mundi,76
manu militari,76
loco citato,74
lapis philosophorum,74
salva veritate,74
lege artis,74
tertium comparationis,74
res inter alios acta,73
nemo dat quod non habet,73
casus omissus,73
coram deo,72
vis maior,72
ex professo,72
similia similibus curantur,72
ignorantia juris non excusat,71
amor vincit omnia,69
vanitas vanitatum,68
homo heidelbergensis,68
uberrima fides,67
facile princeps,67
jus commune,67
ex opere operantis,66
ad quod damnum,65
dei gratia,65
in partibus infidelium,64
opus operatum,64
in usu,64
quis custodiet ipsos custodes,64
ex animo,63
non placet,63
carmina burana,63
fiat panis,62
morituri te salutant,62
sub poena,61
per aspera ad astra,60
vox populi vox dei,60
ex vi termini,60
periculum in mora,59
mare liberum,59
contradictio in adjecto,59
in curia,59
credo quia absurdum,59
e contrario,59
horribile dictu,58
sub nomine,58
sub verbo,58
finem respice,58
senatus consultum ultimum,57
contemptus mundi,57
legate a latere,57
ars antiqua,57
nullius in verba,56
sine ira et studio,56
in flagranti,56
soli deo gloria,56
opus vermiculatum,55
dux bellorum,55
argumentum ad baculum,55
quota litis,54
sub anno,54
et uxor,54
loci communes,54
esse quam videri,54
quare clausum fregit,54
nudum pactum,54
ex deo,54
ex maleficio,53
errare humanum est,53
ex negativo,53
eiusdem generis,53
species nova,53
pro mille,52
cave canem,52
vis inertiae,52
alea iacta est,52
capax infiniti,52
ut dictum,51
ad vitam aeternam,51
apologia pro vita sua,51
invitatio ad offerendum,51
particeps criminis,51
vae victis,50
stabat mater,50
aetatis suae,50
vaticinium ex eventu,50
quoad hoc,49
ex proprio vigore,49
ab aeterno,49
nosce te ipsum,49
odium theologicum,49
audiatur et altera pars,49
humanae vitae,48
damnatio ad bestias,48
magister artium,48
stupor mundi,47
brutum fulmen,47
summa summarum,47
te deum,47
credo ut intelligam,47
anno regni,46
via sacra,46
domus aurea,46
fumus boni iuris,46
sic semper tyrannis,46
sine prole,45
miles gloriosus,45
virgo intacta,45
caritas in veritate,44
cor ad cor loquitur,44
ad multos annos,44
extrema ratio,44
ad absurdem,44
qui bono,43
jus primae noctis,43
pluralis majestatis,43
cacoethes scribendi,43
in summa,43
in dubiis libertas,42
quod vide,42
hic sunt dracones,42
amor patriae,42
lex domicilii,42
ars amatoria,42
ad astra per aspera,42
mare clausum,42
dolus specialis,41
arcana imperii,41
silva rerum,41
secundum artem,41
ne cede malis,41
ad unum,40
acta diurna,40
vera natura,40
ab intestato,40
semper paratus,40
in rerum natura,40
rerum cognoscere causas,40
laudator temporis acti,39
de die in diem,39
usque ad finem,39
custos morum,39
nemo judex in causa sua,39
in gremio,39
opus citatum,39
ave atque vale,38
hortus siccus,38
sine loco,38
lux aeterna,38
per procurationem,38
nil admirari,38
flatus vocis,38
a mari usque ad mare,38
toto caelo,38
salus populi suprema lex,37
pecunia non olet,37
iura novit curia,37
per pedes,36
fac totum,36
semper eadem,36
missa solemnis,36
circulus vitiosus,36
pro domo,36
ad limina apostolorum,36
cor unum,35
ad lucem,35
aude sapere,35
ad clerum,35
et hoc genus omne,34
sub modo,34
de rerum natura,34
philosophia prima,34
abusus non tollit usum,34
hic jacet,34
quantum sufficit,33
totus tuus,33
crescit eundo,33
brevi manu,33
oratio obliqua,33
locus minoris resistentiae,32
per ardua ad astra,32
ad patres,32
habemus papam,32
fiat voluntas tua,32
punctum saliens,32
locus poenitentiae,32
oratio recta,31
rerum novarum,31
alea jacta est,31
mobile vulgus,31
in effigie,30
auri sacra fames,30
a minore,30
ius primae noctis,30
in nubibus,30
jus in re,29
vexata quaestio,29
de dato,29
adaequatio rei et intellectus,29
si monumentum requiris circumspice,29
audentes fortuna juvat,29
suum cuique tribuere,28
ita est,28
coram publico,28
lux et veritas,28
sic et non,28
annuit coeptis,28
hoc loco,28
inter nos,28
lux mundi,28
in distans,27
de gratia,27
ne varietur,27
oderint dum metuant,27
hypotheses non fingo,27
de mortuis nil nisi bonum,27
fidei defensor,27
respice finem,27
per procura,27
post tenebras lux,27
salve regina,26
index nominum,26
in facie curiae,26
pro memoria,26
post mortem auctoris,26
ad eundem gradum,25
vinculum juris,25
arbiter elegantiae,25
bellum iustum,25
aqua mirabilis,25
corruptio optimi pessima,25
dulce et utile,25
ab epistulis,25
sancta simplicitas,24
affectio societatis,24
verbum caro factum est,24
ore rotundo,24
secessio plebis,24
nemo iudex in causa sua,24
index rerum,24
pollice verso,24
opus latericium,24
cui prodest,24
aurea mediocritas,24
dura lex sed lex,24
semper maior,23
ut sit finis litium,23
fides quae creditur,23
animus furandi,23
ad oculos,23
solus ipse,23
ad usum delphini,23
lux in tenebris lucet,23
verbum dei,23
cepi corpus,23
utile dulci,23
artium baccalaureus,23
cur deus homo,22
in omnibus caritas,22
ex abundanti cautela,22
ignorantia legis neminem excusat,22
trustee ex maleficio,22
homo antecessor,22
salvator mundi,22
concordia discors,22
extra moenia,22
magis amica veritas,22
anno hegirae,22
nunc est bibendum,21
in pleno,21
et tu brute,21
per capsulam,21
in dulci jubilo,21
tempora mutantur,21
desipere in loco,21
re vera,21
ne quid nimis,21
obscurum per obscurius,21
age quod agis,21
tuum est,21
memento vivere,20
ab inconvenienti,20
natura non facit saltum,20
consummatum est,20
vox clamantis in deserto,20
ver sacrum,20
locus sigilli,20
pax vobiscum,20
ter in die,20
pallida mors,20
circulus in probando,20
in posterum,19
sic passim,19
lex loci actus,19
ut prosim,19
sapienti sat,19
summum jus,19
liquor cerebrospinalis,19
ex juvantibus,19
homo sum,19
fides qua creditur,19
manu propria,19
legalis homo,19
ad undas,18
in omnia paratus,18
nulli secundus,18
via appia,18
ad meliora,18
urbs in horto,18
probatum est,18
de omnibus dubitandum,17
fluctuat nec mergitur,17
lex loci celebrationis,17
deus otiosus,17
ex abrupto,17
jus utendi,17
opere citato,17
decus et tutamen,17
ante cibum,17
per fas et nefas,17
sunt lacrimae rerum,17
semper idem,17
fugit irreparabile tempus,17
odi et amo,17
ad arma,16
ego te absolvo,16
quid agis,16
non prosequitur,16
dei gratia regina,16
nemo me impune lacessit,16
labor omnia vincit,16
repetitio est mater studiorum,16
coram populo,16
deo gratias,16
sic itur ad astra,16
civis romanus sum,16
gloria in excelsis deo,16
ignotum per ignotius,16
lumen naturale,16
quieta non movere,16
discordia concors,16
temet nosce,16
nomen nescio,16
de bonis asportatis,15
et sequentes,15
gaudium et spes,15
laus deo,15
licentia poetica,15
in medio stat virtus,15
pia fraus,15
artium magister,15
magna mater,15
ad maiorem dei gloriam,15
artibus et historiae,15
ab absurdo,15
animus donandi,15
ne temere,15
et in arcadia ego,15
jus in rem,15
nihil interit,15
post obitum,15
de revolutionibus,15
alterum non laedere,15
quasi ex contractu,15
disce aut discede,15
contra pacem,15
bona fortuna,15
rectus in curia,14
corpus vile,14
pax et bonum,14
esto perpetua,14
hic sunt leones,14
ab ovo usque ad mala,14
varia lectio,14
promotor fidei,14
pro aris et focis,14
in cauda venenum,14
exeunt omnes,14
lex loci solutionis,14
filius nullius,14
absit omen,14
opus tesselatum,14
cura te ipsum,14
cadit quaestio,14
modus agendi,13
desiderantes meliorem patriam,13
semper vigilans,13
solus christus,13
idem quod,13
homo mensura,13
sine tempore,13
litterae humaniores,13
in foro conscientiae,13
de integro,13
capax dei,13
vincit qui se vincit,13
iuris tantum,13
pleno jure,13
mundus vult decipi,13
in nomine domini,13
durante bene placito,13
sesquipedalia verba,13
juris tantum,12
delectatio morosa,12
nemine dissentiente,12
regium donum,12
communibus annis,12
ab antiquo,12
me judice,12
etsi deus non daretur,12
radix malorum est cupiditas,12
anno urbis conditae,12
modus procedendi,12
timor mortis conturbat me,12
in fidem,12
vis legis,12
habent sua fata libelli,12
video et taceo,12
agere sequitur,12
forum romanum,12
dictum meum pactum,12
in flore,11
in naturalibus,11
bona notabilia,11
horresco referens,11
sine metu,11
ad abundantiam,11
tempus vernum,11
ars artium,11
luctor et emergo,11
ex injuria jus non oritur,11
ut omnes unum sint,11
jus accrescendi,11
mirabile visu,11
jus naturae,11
pax christi,11
ex dolo malo,11
reductio ad hitlerum,11
opus operantis,11
corpus juris civilis,11
de civitate dei,11
jus postliminii,11
jus inter gentes,11
docendo discimus,11
ex oriente lux,11
quam diu,11
cupio dissolvi,10
gloria patri,10
veritas in caritate,10
gaudeamus igitur,10
et lux in tenebris lucet,10
castigat ridendo mores,10
opus musivum,10
rorate coeli,10
finis coronat opus,10
decessit sine prole,10
ens causa sui,10
pax tecum,10
natale solum,10
beati possidentes,10
ratione soli,10
sit venia verbo,10
non vi sed saepe cadendo,10
ad unguem,10
sub divo,10
fortes in fide,10
gradatim ferociter,10
historia magistra vitae,10
in utroque jure,10
nulla dies sine linea,10
acta non verba,10
combinatio nova,10
quasi modo geniti,10
summa potestas,9
ut infra,9
commune bonum,9
poeta laureatus,9
magnum bonum,9
de te fabula narratur,9
leges sine moribus vanae,9
vox nihili,9
de oppresso liber,9
ratum et consummatum,9
animal sociale,9
acta sanctorum,9
nihil sub sole novum,9
est modus in rebus,9
aequo animo,9
ab imo pectore,9
nemo propheta in patria,9
quid nunc,9
obsta principiis,9
nihil ad rem,9
congregatio de propaganda fide,9
quater in die,9
aes alienum,9
biblia pauperum,9
experto crede,9
splendide mendax,9
hoc age,9
qui tacet consentire videtur,9
ad arbitrium,8
dies non juridicus,8
verbum domini,8
tabula gratulatoria,8
ira deorum,8
veritas vincit,8
alis volat propriis,8
durante munere,8
manus dei,8
genus irritabile vatum,8
per angusta ad augusta,8
lex loci rei sitae,8
ad fundum,8
dum vivimus vivamus,8
helluo librorum,8
mens agitat molem,8
quid novi,8
visio dei,8
ex ungue leonem,8
quod computet,8
quaque hora,8
quot homines tot sententiae,8
a capite ad calcem,8
ad perpetuam rei memoriam,7
principiis obsta,7
dominus vobiscum,7
tentanda via,7
mutato nomine,7
sedes apostolica,7
cedant arma togae,7
jus honorarium,7
paucis verbis,7
in pontificalibus,7
anno aetatis suae,7
veritas odium parit,7
ubi solitudinem faciunt pacem appellant,7
aut vincere aut mori,7
ad captandum vulgus,7
capax imperii nisi imperasset,7
sustine et abstine,7
abyssus abyssum invocat,7
ultima forsan,7
votum separatum,7
renovatio urbis,7
inter arma enim silent leges,7
lapsus memoriae,7
de omni re scibili,7
reductio ad infinitum,7
simplex sigillum veri,7
in puris naturalibus,7
aliquid stat pro aliquo,7
per aes et libram,7
volenti non fit iniuria,7
quod scripsi scripsi,7
vivat rex,7
talis qualis,7
de minimis non curat praetor,7
gutta cavat lapidem,6
divinum officium,6
videre licet,6
jus abutendi,6
naturalis historia,6
fugit hora,6
ab irato,6
ultimo mense,6
a posse ad esse,6
nec temere nec timide,6
sine anno,6
flagellum dei,6
sub finem,6
experientia docet,6
in hunc effectum,6
verbi gratia,6
aqua destillata,6
audaces fortuna iuvat,6
semper ardens,6
vincit qui patitur,6
tuitio fidei et obsequium pauperum,6
caput inter nubila,6
pro nunc,6
vincit omnia veritas,6
draco dormiens nunquam titillandus,6
spectemur agendo,6
a minore ad maius,6
ad victoriam,6
dies ater,6
tempus edax rerum,6
non scholae sed vitae discimus,6
cuique suum,6
pro opportunitate,6
de dolo,6
beatae memoriae,6
de bello gallico,6
et facta est lux,6
repetita iuvant,6
jus fruendi,6
nihil novi sub sole,5
pater historiae,5
annus terribilis,5
lupus in fabula,5
obtorto collo,5
redde rationem,5
fervet opus,5
canis canem edit,5
ad vitam aut culpam,5
mox nox,5
lux libertas,5
gens una sumus,5
in totidem verbis,5
absit invidia,5
veritas vos liberabit,5
splendor sine occasu,5
aegri somnia,5
utraque unum,5
vade retro satana,5
nec pluribus impar,5
vires in numeris,5
in pace requiescat,5
corruptus in extremis,5
rem acu tetigisti,5
hora somni,5
non omnis moriar,5
quid est veritas,5
doli capax,5
fac et spera,5
nuda veritas,5
per pares,5
alieni juris,5
index librorum prohibitorum,5
ars celare artem,5
pace tua,5
calix meus inebrians,5
jus relictae,5
latet anguis in herba,5
ductus exemplo,5
te deum laudamus,5
vita patris,5
jure matris,5
quinque voces,5
hoc erat in votis,5
gens togata,5
aut disce aut discede,5
pia desideria,4
ita vero,4
quocunque jeceris stabit,4
locus desperatus,4
semper apertus,4
ecce signum,4
opera operata,4
amicus certus in re incerta,4
vires acquirit eundo,4
durante vita,4
dulcius ex asperis,4
rituale romanum,4
amat victoria curam,4
stante pede,4
vive ut vivas,4
viriliter agite,4
vivat crescat floreat,4
acta est fabula,4
dei gratia rex,4
hinc illae lacrimae,4
veritate et caritate,4
corpus juris canonici,4
veritas liberabit vos,4
jure humano,4
facio ut des,4
viriliter age,4
canes pugnaces,4
arare litus,4
hic habitat felicitas,4
humilitas occidit superbiam,4
esto quod es,4
dulce bellum inexpertis,4
per mare per terram,4
reformatio in pejus,4
de fideli,4
more majorum,4
absente reo,4
sit tibi terra levis,4
tria juncta in uno,4
beati pauperes spiritu,4
ex supra,4
sidereus nuncius,4
vitam impendere vero,4
contraria contrariis curantur,4
felix qui potuit rerum cognoscere causas,4
audere est facere,4
pictor ignotus,4
ab uno disce omnes,4
exceptis excipiendis,4
longo intervallo,4
abundans cautela non nocet,4
dulce est desipere in loco,4
regressus ad uterum,4
nuper rosarum flores,4
navigare necesse est,4
semper fortis,4
jus proprietatis,4
palmam qui meruit ferat,4
sub tuum praesidium,4
amare et sapere vix deo conceditur,3
bella gerant alii,3
spiritus ubi vult spirat,3
scientia vincere tenebras,3
qui bene cantat bis orat,3
ex curia,3
deo optimo maximo,3
verbatim et litteratim,3
exegi monumentum aere perennius,3
ab incunabulis,3
quae vide,3
hora fugit,3
auribus teneo lupum,3
vita ante acta,3
a verbis ad verbera,3
carpe vinum,3
ad calendas graecas,3
ad pedem litterae,3
tusculanae disputationes,3
sum quod eris,3
corvus oculum corvi non eruit,3
semper invicta,3
in pari causa,3
bellum se ipsum alet,3
aut pax aut bellum,3
in varietate concordia,3
dictum sapienti sat,3
cui in vita,3
ut cognoscant te,3
hic et ubique,3
fama volat,3
in spiritu et veritate,3
integer vitae scelerisque purus,3
amicus humani generis,3
uno flatu,3
necessitas non habet legem,3
margaritas ante porcos,3
sub umbra floreo,3
vivere est cogitare,3
nihil ex nihilo,3
diem perdidi,3
a maiore ad minus,3
a caelo usque ad centrum,3
virtus unita fortior,3
ius est ars boni et aequi,3
amor platonicus,3
ab hinc,3
sic parvis magna,3
gaudeamus hodie,3
velut arbor aevo,3
mens sibi conscia recti,3
amor dei intellectualis,3
per ardua ad alta,3
jus in personam,3
vero nihil verius,3
remedia amoris,3
vox sanguinis,3
post nubila phoebus,3
jus ecclesiasticum,3
e causa ignota,3
vive memor leti,3
quod erat faciendum,3
semper ad meliora,3
sic vos non vobis,3
ex astris scientia,3
e vestigio,3
scientia et sapientia,3
sumptibus auctoris,3
senatus populusque romanus,3
suo loco,3
animula vagula blandula,2
cura ut valeas,2
incredibile dictu,2
ecce ancilla domini,2
tu stultus es,2
damnant quod non intelligunt,2
fas est et ab hoste doceri,2
omne ignotum pro magnifico,2
post coitem,2
audaces fortuna juvat,2
favete linguis,2
descensus in cuniculi cavum,2
spero meliora,2
victoria concordia crescit,2
cetera desunt,2
amicus certus in re incerta cernitur,2
arma christi,2
primum vivere deinde philosophari,2
regina caeli,2
vestigia nulla retrorsum,2
qui transtulit sustinet,2
spes bona,2
quis ut deus,2
non sibi sed patriae,2
varium et mutabile semper femina,2
praedia urbana,2
sapientia et eloquentia,2
similis simili gaudet,2
deo vindice,2
dulce periculum,2
alieni iuris,2
virtute et armis,2
hac lege,2
cygnus inter anates,2
specialia generalibus derogant,2
exitus acta probat,2
fortius quo fidelius,2
dis aliter visum,2
jus relicti,2
ex scientia tridens,2
rari nantes in gurgite vasto,2
non sum qualis eram,2
concordia salus,2
veritas odit moras,2
sum quod sum,2
ego te provoco,2
virtus non stemma,2
semper instans,2
morbus sacer,2
verba docent exempla trahunt,2
opera citata,2
delegata potestas non potest delegari,2
nunc aut nunquam,2
sit nomen domini benedictum,2
treuga dei,2
clerico admittendo,2
ne nimium,2
sol lucet omnibus,2
fortiter et fideliter,2
aquila non capit muscas,2
cum grano salis,2
regnat populus,2
mihi cura futuri,2
siste viator,2
timeo danaos et dona ferentes,2
sidere mens eadem mutato,2
me fallit,2
res firma mitescere nescit,2
equo ne credite,2
in utrumque paratus,2
qua patet orbis,2
similia similibus solvuntur,2
ut dict,2
dies juridicus,2
verbi divini minister,2
sapientia et doctrina,2
sancta sedes,2
in necessariis unitas,2
celerius quam asparagi cocuntur,2
viribus unitis,2
lectori salutem,2
scio me nihil scire,2
quaecumque sunt vera,2
veritas lux mea,2
non nobis solum nati sumus,2
qui audet adipiscitur,2
ignorantia juris neminem excusat,2
strictum jus,2
in lumine tuo videbimus lumen,2
nescit vox missa reverti,2
ex malo bonum,2
ama et fac quod vis,2
ex luna scientia,2
virtus tentamine gaudet,2
durante absentia,2
pulvis et umbra sumus,2
quod me nutrit me destruit,2
ad kalendas graecas,2
jubilate deo,2
in ictu oculi,2
omnia mea mecum porto,2
numquam non paratus,2
eruditio et religio,2
fortes fortuna juvat,2
dimidium facti qui coepit habet,2
jus soil,2
homo legalis,2
durante minore aetate,2
succisa virescit,2
quo fata ferunt,1
mare tranquillitatis,1
usus est magister optimus,1
ira furor brevis est,1
amor omnibus idem,1
ex factis jus oritur,1
jus angariae,1
decessit sine prole legitima,1
ignorantia iuris nocet,1
id quod plerumque accidit,1
ante christum natum,1
spem gregis,1
ex solo ad solem,1
aequam memento rebus in arduis servare mentem,1
qui docet in doctrina,1
ex fide fortis,1
errantis voluntas nulla est,1
fons vitae caritas,1
nihil debet,1
victoria aut mors,1
arte et marte,1
aeternum vale,1
